description,mcc,category_name,description,,,,,,,,,,,,,,,,,,,,,,
 01 - ARABA K_RALAMA,3386,Showcase Rental Cars,Bu MCC belirtilen araç kiralama _irketi için kullanılmaktadır.,,,,,,,,,,,,,,,,,,,,,,
 01 - ARABA K_RALAMA,3387,Alamo Rent A Car,Bu MCC belirtilen araç kiralama _irketi için kullanılmaktadır.,,,,,,,,,,,,,,,,,,,,,,
 01 - ARABA K_RALAMA,3388,Merchants Ren A Car,Bu MCC belirtilen araç kiralama _irketi için kullanılmaktadır.,,,,,,,,,,,,,,,,,,,,,,
 01 - ARABA K_RALAMA,3389,Avis Rent A Car,Bu MCC belirtilen araç kiralama _irketi için kullanılmaktadır.,,,,,,,,,,,,,,,,,,,,,,
 01 - ARABA K_RALAMA,3390,Dollar Rent A Car,Bu MCC belirtilen araç kiralama _irketi için kullanılmaktadır.,,,,,,,,,,,,,,,,,,,,,,
 01 - ARABA K_RALAMA,3391,Europe By Car,Bu MCC belirtilen araç kiralama _irketi için kullanılmaktadır.,,,,,,,,,,,,,,,,,,,,,,
 01 - ARABA K_RALAMA,3392,RFU (Reserved For Future Use), ,,,,,,,,,,,,,,,,,,,,,,
 01 - ARABA K_RALAMA,3393,National Car Rental,Bu MCC belirtilen araç kiralama _irketi için kullanılmaktadır.,,,,,,,,,,,,,,,,,,,,,,
 01 - ARABA K_RALAMA,3394,Kemwell Groupe Rent A Car,Bu MCC belirtilen araç kiralama _irketi için kullanılmaktadır.,,,,,,,,,,,,,,,,,,,,,,
 01 - ARABA K_RALAMA,3395,Thrifty Car Rental,Bu MCC belirtilen araç kiralama _irketi için kullanılmaktadır.,,,,,,,,,,,,,,,,,,,,,,
 01 - ARABA K_RALAMA,3396,Tilden Rent A Car,Bu MCC belirtilen araç kiralama _irketi için kullanılmaktadır.,,,,,,,,,,,,,,,,,,,,,,
 01 - ARABA K_RALAMA,3397,RFU (Reserved For Future Use), ,,,,,,,,,,,,,,,,,,,,,,
 01 - ARABA K_RALAMA,3398,Econo  Car Rent A Car,Bu MCC belirtilen araç kiralama _irketi için kullanılmaktadır.,,,,,,,,,,,,,,,,,,,,,,
 01 - ARABA K_RALAMA,3399,RFU (Reserved For Future Use), ,,,,,,,,,,,,,,,,,,,,,,
 01 - ARABA K_RALAMA,3400,Auto Host Car Rentals,Bu MCC belirtilen araç kiralama _irketi için kullanılmaktadır.,,,,,,,,,,,,,,,,,,,,,,
 01 - ARABA K_RALAMA,3401,RFU (Reserved For Future Use), ,,,,,,,,,,,,,,,,,,,,,,
 01 - ARABA K_RALAMA,3402,RFU (Reserved For Future Use), ,,,,,,,,,,,,,,,,,,,,,,
 01 - ARABA K_RALAMA,3403,RFU (Reserved For Future Use), ,,,,,,,,,,,,,,,,,,,,,,
 01 - ARABA K_RALAMA,3404,RFU (Reserved For Future Use), ,,,,,,,,,,,,,,,,,,,,,,
 01 - ARABA K_RALAMA,3405,Enterprise Rent A Car,Bu MCC belirtilen araç kiralama _irketi için kullanılmaktadır.,,,,,,,,,,,,,,,,,,,,,,
 01 - ARABA K_RALAMA,3406,RFU (Reserved For Future Use), ,,,,,,,,,,,,,,,,,,,,,,
 01 - ARABA K_RALAMA,3407,RFU (Reserved For Future Use), ,,,,,,,,,,,,,,,,,,,,,,
 01 - ARABA K_RALAMA,3408,RFU (Reserved For Future Use), ,,,,,,,,,,,,,,,,,,,,,,
 01 - ARABA K_RALAMA,3409,General Rent A Car,Bu MCC belirtilen araç kiralama _irketi için kullanılmaktadır.,,,,,,,,,,,,,,,,,,,,,,
 01 - ARABA K_RALAMA,3410,RFU (Reserved For Future Use), ,,,,,,,,,,,,,,,,,,,,,,
 01 - ARABA K_RALAMA,3411,RFU (Reserved For Future Use), ,,,,,,,,,,,,,,,,,,,,,,
