UYEISYERI_ID_MASK,mcc,district_id,degree,betweenness,closeness,eigenvector,mcc_diversity,geo_diversity
27732717,5541,60,1489,0.00048557,0.603508283,0.022602085,2.374143751,3.313879946
27732857,7538,81,779,7.17E-05,0.549151254,0.013048977,2.343411493,3.12023944
27733667,5691,50,735,3.98E-05,0.54624496,0.01282635,2.337420194,2.49922928
27733727,5691,115,870,7.28E-05,0.555626762,0.015947715,2.404248113,2.862622911
27733915,5541,15,503,3.03E-05,0.530599755,0.008589206,2.408346708,3.108312537
27733977,5541,31,532,4.02E-05,0.532424466,0.009228775,2.157646922,3.268823462
27733994,5541,31,388,2.01E-05,0.523234762,0.006396776,2.263487845,2.999197768
27734027,5541,31,505,5.02E-05,0.530794661,0.00850997,2.194709919,3.320248874
27734550,5541,160,578,4.34E-05,0.535581913,0.009559655,2.312843843,2.786126318
27738680,5411,50,247,5.85E-06,0.514417942,0.004328592,2.288180612,2.188613691
27738688,5411,50,767,0.000115914,0.548456478,0.012157265,2.292592588,2.723775189
27738698,5411,87,438,1.64E-05,0.526475589,0.007704702,2.287064921,2.605559098
27738717,5411,160,485,2.59E-05,0.529368665,0.007891268,2.366870963,2.425331648
27738898,5691,34,700,4.19E-05,0.543778224,0.012565713,2.421722568,2.885903185
27738901,5912,61,897,8.68E-05,0.55755627,0.015407339,2.380933056,2.734371333
27738916,5691,50,1481,0.000363193,0.602836879,0.023270054,2.345998893,2.900680113
27738917,5691,115,1100,0.000148727,0.572503962,0.019243062,2.364027602,2.935020069
27738920,5691,50,873,6.81E-05,0.555769231,0.015009332,2.347880394,2.568053828
27738921,5691,115,1294,0.0002646,0.587557604,0.021383445,2.356522671,3.085132798
27738930,5691,33,934,0.000100532,0.56014989,0.0167872,2.389790211,2.945663227
27738942,5691,34,944,0.000101987,0.560947205,0.016340534,2.37490694,3.013019424
27738945,5691,4,1596,0.000385342,0.612720848,0.024867125,2.422320617,2.891141691
27738976,5691,115,903,0.000104076,0.557986871,0.015946188,2.400781776,2.967862883
27738983,5691,61,1151,0.000148164,0.576386119,0.019091182,2.386066938,2.70846946
27739060,5411,123,374,1.46E-05,0.52241504,0.006919116,2.373169421,2.654599762
27742527,5541,121,802,0.000104197,0.550825921,0.01213607,2.286528368,3.023118112
27743387,5541,84,2007,0.000936115,0.650412603,0.030164051,2.350536088,3.403885631
27743411,5541,70,1468,0.000442766,0.60183257,0.022086145,2.31164237,3.311684495
27745064,5541,50,1499,0.000405088,0.60443391,0.022929727,2.362608147,2.929684744
27746016,5541,121,1562,0.000526628,0.609704641,0.022966058,2.3502123,3.284723406
27746095,5541,61,1139,0.000250535,0.575467941,0.018001939,2.361070998,3.021817012
27748784,5541,123,1452,0.000422481,0.600415512,0.022907352,2.34207137,3.295279075
27748811,7538,123,548,3.69E-05,0.533604136,0.009452344,2.242206264,2.800705745
